neighborhood_id,name,district,speed_peak,speed_offpeak,speed_blended
404,KARLITEPE,GAZİOSMANPAŞA,21.63,32.73,26.04
405,KARTALTEPE,BAKIRKÖY,19.65,26.92,22.83
406,KARTALTEPE,BAYRAMPAŞA,19.97,28.92,23.39
407,KARTALTEPE,KÜÇÜKÇEKMECE,21.68,35.34,28.01
408,KATİP KASIM,FATİH,29.91,45.28,40.14
409,KATİPMUSTAFA ÇELEBİ,BEYOĞLU,19.93,29.52,24.63
410,KAVACIK,BEYKOZ,33.4,68.36,47.91
411,KAVAKLI,BEYLİKDÜZÜ,25.23,35.52,29.31
412,KAVAKLI İSTİKLAL,SİLİVRİ,89.02,85.29,87.85
413,KAVAKPINAR,PENDİK,56.77,78.05,67.64
414,KAYABAŞI,BAŞAKŞEHİR,34.03,36.31,34.99
415,KAYIŞDAĞI,ATAŞEHİR,25.4,32.35,28.35
416,KAYNARCA,BEYKOZ,90.35,83.28,87.5
417,KAYNARCA,PENDİK,37.56,66.82,49.69
418,KAZIM KARABEKİR,GAZİOSMANPAŞA,21.9,30.61,25.21
